discipline_title,slug_game,city_host,country_host,continent_host,event_title,event_gender,medal_type,participant_type,participant_title,athlete_url,athlete_full_name,country_name,country_code,country_3_letter_code
Swimming,antwerp-1920,Antwerp,Belgium,Europe,1500m freestyle men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/frank-de-beaurepaire,Frank DE BEAUREPAIRE,Australia,AU,AUS
Swimming,antwerp-1920,Antwerp,Belgium,Europe,100m backstroke men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/warren-paoa-kealoha,Warren Paoa KEALOHA,United States of America,US,USA
Swimming,antwerp-1920,Antwerp,Belgium,Europe,100m backstroke men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/raymond-kegeris,Raymond KEGERIS,United States of America,US,USA
Swimming,antwerp-1920,Antwerp,Belgium,Europe,100m backstroke men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/gerard-blitz,Gerard BLITZ,Belgium,BE,BEL
Swimming,antwerp-1920,Antwerp,Belgium,Europe,400m freestyle men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/norman-ross,Norman ROSS,United States of America,US,USA
Swimming,antwerp-1920,Antwerp,Belgium,Europe,400m freestyle men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/ludy-langer,Ludy LANGER,United States of America,US,USA
Swimming,antwerp-1920,Antwerp,Belgium,Europe,400m freestyle men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/george-vernot,George VERNOT,Canada,CA,CAN
Swimming,antwerp-1920,Antwerp,Belgium,Europe,400m breaststroke men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/hakan-malmrot,Hakan MALMROT,Sweden,SE,SWE
Swimming,antwerp-1920,Antwerp,Belgium,Europe,400m breaststroke men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/tor-henning,Tor HENNING,Sweden,SE,SWE
Swimming,antwerp-1920,Antwerp,Belgium,Europe,400m breaststroke men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/arvo-ossian-aaltonen,Arvo Ossian AALTONEN,Finland,FI,FIN
Swimming,antwerp-1920,Antwerp,Belgium,Europe,200m breaststroke men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/hakan-malmrot,Hakan MALMROT,Sweden,SE,SWE
Swimming,antwerp-1920,Antwerp,Belgium,Europe,200m breaststroke men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/tor-henning,Tor HENNING,Sweden,SE,SWE
Swimming,antwerp-1920,Antwerp,Belgium,Europe,200m breaststroke men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/arvo-ossian-aaltonen,Arvo Ossian AALTONEN,Finland,FI,FIN
Swimming,antwerp-1920,Antwerp,Belgium,Europe,100m freestyle women,Women,GOLD,Athlete,,https://olympics.com/en/athletes/ethelda-bleibtrey,Ethelda BLEIBTREY,United States of America,US,USA
Swimming,antwerp-1920,Antwerp,Belgium,Europe,100m freestyle women,Women,SILVER,Athlete,,https://olympics.com/en/athletes/irene-guest,Irene GUEST,United States of America,US,USA
Swimming,antwerp-1920,Antwerp,Belgium,Europe,100m freestyle women,Women,BRONZE,Athlete,,https://olympics.com/en/athletes/frances-schroth,Frances SCHROTH,United States of America,US,USA
Swimming,antwerp-1920,Antwerp,Belgium,Europe,300m freestyle women,Women,GOLD,Athlete,,https://olympics.com/en/athletes/ethelda-bleibtrey,Ethelda BLEIBTREY,United States of America,US,USA
Swimming,antwerp-1920,Antwerp,Belgium,Europe,300m freestyle women,Women,SILVER,Athlete,,https://olympics.com/en/athletes/margaret-woodbridge,Margaret WOODBRIDGE,United States of America,US,USA
Swimming,antwerp-1920,Antwerp,Belgium,Europe,300m freestyle women,Women,BRONZE,Athlete,,https://olympics.com/en/athletes/frances-schroth,Frances SCHROTH,United States of America,US,USA
Swimming,antwerp-1920,Antwerp,Belgium,Europe,100m freestyle men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/duke-paoa-kahanamoku,Duke Paoa KAHANAMOKU,United States of America,US,USA
Swimming,antwerp-1920,Antwerp,Belgium,Europe,100m freestyle men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/pua-kela-kealoha,Pua Kela KEALOHA,United States of America,US,USA
Swimming,antwerp-1920,Antwerp,Belgium,Europe,100m freestyle men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/william-harris,William HARRIS,United States of America,US,USA
Weightlifting,antwerp-1920,Antwerp,Belgium,Europe,675  75kg onetwo hand 3 events middleweight men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/henri-gance,Henri GANCE,France,FR,FRA
Weightlifting,antwerp-1920,Antwerp,Belgium,Europe,675  75kg onetwo hand 3 events middleweight men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/pietro-ubaldo-bianchi,Pietro Ubaldo BIANCHI,Italy,IT,ITA
Weightlifting,antwerp-1920,Antwerp,Belgium,Europe,675  75kg onetwo hand 3 events middleweight men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/albert-pettersson,Albert PETTERSSON,Sweden,SE,SWE
Weightlifting,antwerp-1920,Antwerp,Belgium,Europe,60kg onetwo hand 3 events featherweight men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/frans-de-haes,Frans DE HAES,Belgium,BE,BEL
Weightlifting,antwerp-1920,Antwerp,Belgium,Europe,60kg onetwo hand 3 events featherweight men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/alfred-schmidt,Alfred SCHMIDT,Estonia,EE,EST
Weightlifting,antwerp-1920,Antwerp,Belgium,Europe,60kg onetwo hand 3 events featherweight men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/eugene-ryther,Eugène RYTHER,Switzerland,CH,SUI
Weightlifting,antwerp-1920,Antwerp,Belgium,Europe,75  825kg onetwo hand 3 e lightheavyweight men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/ernest-cadine,Ernest CADINE,France,FR,FRA
Weightlifting,antwerp-1920,Antwerp,Belgium,Europe,75  825kg onetwo hand 3 e lightheavyweight men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/fritz-hunenberger,Fritz HÜNENBERGER,Switzerland,CH,SUI
Weightlifting,antwerp-1920,Antwerp,Belgium,Europe,75  825kg onetwo hand 3 e lightheavyweight men,Men,BRONZE,Athlete,,,Erik Pettersson,Sweden,SE,SWE
Weightlifting,antwerp-1920,Antwerp,Belgium,Europe,825kg onetwo hand 3 events heavyweight men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/filippo-bottino,Filippo BOTTINO,Italy,IT,ITA
Weightlifting,antwerp-1920,Antwerp,Belgium,Europe,825kg onetwo hand 3 events heavyweight men,Men,SILVER,Athlete,,,Jos Alzin,Luxembourg,LU,LUX
Weightlifting,antwerp-1920,Antwerp,Belgium,Europe,825kg onetwo hand 3 events heavyweight men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/louis-bernot,Louis BERNOT,France,FR,FRA
Weightlifting,antwerp-1920,Antwerp,Belgium,Europe,60  675kg onetwo hand 3 events lightweight men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/alfred-neuland,Alfred NEULAND,Estonia,EE,EST
Weightlifting,antwerp-1920,Antwerp,Belgium,Europe,60  675kg onetwo hand 3 events lightweight men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/louis-williquet,Louis WILLIQUET,Belgium,BE,BEL
