discipline_title	slug_game	city_host	country_host	continent_host	event_title	event_gender	medal_type	participant_type	participant_title	athlete_url	athlete_full_name	country_name	country_code	country_3_letter_code
Athletics	stockholm-1912	Stockholm	Sweden	Europe	triple jump men	Men	SILVER	Athlete		https://olympics.com/en/athletes/georg-aberg	Georg ABERG	Sweden	SE	SWE
Athletics	stockholm-1912	Stockholm	Sweden	Europe	triple jump men	Men	BRONZE	Athlete		https://olympics.com/en/athletes/erik-almlof	Erik ALMLÖF	Sweden	SE	SWE
Athletics	stockholm-1912	Stockholm	Sweden	Europe	javelin throw both hands men	Men	GOLD	Athlete		https://olympics.com/en/athletes/juho-julius-saaristo	Juho Julius SAARISTO	Finland	FI	FIN
Athletics	stockholm-1912	Stockholm	Sweden	Europe	javelin throw both hands men	Men	SILVER	Athlete		https://olympics.com/en/athletes/vaino-siikaniemi	Väinö SIIKANIEMI	Finland	FI	FIN
Athletics	stockholm-1912	Stockholm	Sweden	Europe	javelin throw both hands men	Men	BRONZE	Athlete		https://olympics.com/en/athletes/urho-pellervo-peltonen	Urho Pellervo PELTONEN	Finland	FI	FIN
Athletics	stockholm-1912	Stockholm	Sweden	Europe	400m men	Men	GOLD	Athlete		https://olympics.com/en/athletes/charles-decker-reidpath	Charles Decker REIDPATH	United States of America	US	USA
Athletics	stockholm-1912	Stockholm	Sweden	Europe	400m men	Men	SILVER	Athlete		https://olympics.com/en/athletes/hans-braun	Hans BRAUN	Germany	DE	GER
Athletics	stockholm-1912	Stockholm	Sweden	Europe	400m men	Men	BRONZE	Athlete			Ed Lindberg	United States of America	US	USA
Athletics	stockholm-1912	Stockholm	Sweden	Europe	4x400m relay men	Men	GOLD	GameTeam	United States team			United States of America	US	USA
Athletics	stockholm-1912	Stockholm	Sweden	Europe	4x400m relay men	Men	SILVER	GameTeam	France team			France	FR	FRA
Athletics	stockholm-1912	Stockholm	Sweden	Europe	4x400m relay men	Men	BRONZE	GameTeam	Great Britain team			Great Britain	GB	GBR
Athletics	stockholm-1912	Stockholm	Sweden	Europe	1500m men	Men	GOLD	Athlete		https://olympics.com/en/athletes/arnold-jackson	Arnold JACKSON	Great Britain	GB	GBR
Athletics	stockholm-1912	Stockholm	Sweden	Europe	1500m men	Men	SILVER	Athlete		https://olympics.com/en/athletes/abel-kiviat	Abel KIVIAT	United States of America	US	USA
Athletics	stockholm-1912	Stockholm	Sweden	Europe	1500m men	Men	BRONZE	Athlete		https://olympics.com/en/athletes/norman-taber	Norman TABER	United States of America	US	USA
Athletics	stockholm-1912	Stockholm	Sweden	Europe	hammer throw men	Men	GOLD	Athlete			Matt McGrath	United States of America	US	USA
Athletics	stockholm-1912	Stockholm	Sweden	Europe	hammer throw men	Men	SILVER	Athlete		https://olympics.com/en/athletes/duncan-gillis	Duncan GILLIS	Canada	CA	CAN
Athletics	stockholm-1912	Stockholm	Sweden	Europe	hammer throw men	Men	BRONZE	Athlete		https://olympics.com/en/athletes/clarence-chester-childs	Clarence Chester CHILDS	United States of America	US	USA
Athletics	stockholm-1912	Stockholm	Sweden	Europe	100m men	Men	GOLD	Athlete		https://olympics.com/en/athletes/ralph-craig	Ralph CRAIG	United States of America	US	USA
Athletics	stockholm-1912	Stockholm	Sweden	Europe	100m men	Men	SILVER	Athlete		https://olympics.com/en/athletes/i-alvah-meyer	I. Alvah MEYER	United States of America	US	USA
Athletics	stockholm-1912	Stockholm	Sweden	Europe	100m men	Men	BRONZE	Athlete		https://olympics.com/en/athletes/donald-lippincott	Donald LIPPINCOTT	United States of America	US	USA
Athletics	stockholm-1912	Stockholm	Sweden	Europe	10000m walk men	Men	GOLD	Athlete		https://olympics.com/en/athletes/george-goulding	George GOULDING	Canada	CA	CAN
Athletics	stockholm-1912	Stockholm	Sweden	Europe	10000m walk men	Men	SILVER	Athlete			Ernie Webb	Great Britain	GB	GBR
Athletics	stockholm-1912	Stockholm	Sweden	Europe	10000m walk men	Men	BRONZE	Athlete			Nando Altimani	Italy	IT	ITA
Athletics	stockholm-1912	Stockholm	Sweden	Europe	110m hurdles men	Men	GOLD	Athlete			Fred Kelly	United States of America	US	USA
Athletics	stockholm-1912	Stockholm	Sweden	Europe	110m hurdles men	Men	SILVER	Athlete		https://olympics.com/en/athletes/james-wendell	James WENDELL	United States of America	US	USA
Athletics	stockholm-1912	Stockholm	Sweden	Europe	110m hurdles men	Men	BRONZE	Athlete		https://olympics.com/en/athletes/martin-hawkins	Martin HAWKINS	United States of America	US	USA
Athletics	stockholm-1912	Stockholm	Sweden	Europe	shot put men	Men	GOLD	Athlete			Pat McDonald	United States of America	US	USA
Athletics	stockholm-1912	Stockholm	Sweden	Europe	shot put men	Men	SILVER	Athlete		https://olympics.com/en/athletes/ralph-rose	Ralph ROSE	United States of America	US	USA
Athletics	stockholm-1912	Stockholm	Sweden	Europe	shot put men	Men	BRONZE	Athlete		https://olympics.com/en/athletes/laurence-atwood-whitney	Laurence Atwood WHITNEY	United States of America	US	USA
Athletics	stockholm-1912	Stockholm	Sweden	Europe	decathlon men	Men	GOLD	Athlete		https://olympics.com/en/athletes/jim-thorpe	Jim THORPE	United States of America	US	USA
